
BoxSetEpisodeTitle                                                    BoxSetEpisodeMediaUrl
Tuesday 2nd October Clyde 1 Superscoreboard                           https://aod.planetradio.co.uk/superscoreboard/20181002195917.m4a?awCollectionId=superscoreboard&awEpisodeId=11723?awCollectionId=13&awEpisodeId=222469
Monday 1st October Clyde 1 Superscoreboard                            https://aod.planetradio.co.uk/superscoreboard/20181001190748.m4a?awCollectionId=superscoreboard&awEpisodeId=11699?awCollectionId=13&awEpisodeId=222470
Saturday 29th Septemebr Clyde 1 Superscoreboard Build-Up              https://aod.planetradio.co.uk/superscoreboard/20180929173635.m4a?awCollectionId=superscoreboard&awEpisodeId=11661?awCollectionId=13&awEpisodeId=222471
Saturday 29th September Clyde 1 Superscoreboard Openline              https://aod.planetradio.co.uk/superscoreboard/20180929171338.m4a?awCollectionId=superscoreboard&awEpisodeId=11662?awCollectionId=13&awEpisodeId=222472
Friday 28th September Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20180928191348.m4a?awCollectionId=superscoreboard&awEpisodeId=11657?awCollectionId=13&awEpisodeId=222473
Thursday 27th September Clyde 1 Superscoreboard                       https://aod.planetradio.co.uk/superscoreboard/20180927191608.m4a?awCollectionId=superscoreboard&awEpisodeId=11620?awCollectionId=13&awEpisodeId=222474
Wednesday 26th September Clyde 1 Superscoreboard                      https://aod.planetradio.co.uk/superscoreboard/20180926192609.m4a?awCollectionId=superscoreboard&awEpisodeId=11591?awCollectionId=13&awEpisodeId=222475
Tuesday 25th September Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20180925193031.m4a?awCollectionId=superscoreboard&awEpisodeId=11555?awCollectionId=13&awEpisodeId=222476
Monday 24th September Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20180924195604.m4a?awCollectionId=superscoreboard&awEpisodeId=11537?awCollectionId=13&awEpisodeId=222477
Sunday 23rd September Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20180923185601.m4a?awCollectionId=superscoreboard&awEpisodeId=11515?awCollectionId=13&awEpisodeId=222478
Saturday 22nd September Clyde 1 Superscoreboard: Build Up & Open Line https://aod.planetradio.co.uk/superscoreboard/20180922181949.m4a?awCollectionId=superscoreboard&awEpisodeId=11514?awCollectionId=13&awEpisodeId=222479
Superscoreboard Friday 21st September                                 https://aod.planetradio.co.uk/superscoreboard/20180921192317.m4a?awCollectionId=superscoreboard&awEpisodeId=11510?awCollectionId=13&awEpisodeId=222480
Thursday 9th September Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20180920192457.m4a?awCollectionId=superscoreboard&awEpisodeId=11479?awCollectionId=13&awEpisodeId=222481
Wednesday the 19th of September Clyde 1 Superscoreboard               https://aod.planetradio.co.uk/superscoreboard/20180919203135.m4a?awCollectionId=superscoreboard&awEpisodeId=11449?awCollectionId=13&awEpisodeId=222482
Tuesday 18th September Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20180918193458.m4a?awCollectionId=superscoreboard&awEpisodeId=11434?awCollectionId=13&awEpisodeId=222483
Superscoreboard Monday 17th September                                 https://aod.planetradio.co.uk/superscoreboard/20180917201507.m4a?awCollectionId=superscoreboard&awEpisodeId=11407?awCollectionId=13&awEpisodeId=222484
Saturday 15th September Clyde 1 Superscoreboard Openline              https://aod.planetradio.co.uk/superscoreboard/20180915171905.m4a?awCollectionId=superscoreboard&awEpisodeId=11357?awCollectionId=13&awEpisodeId=222485
Saturday 15th September Clyde 1 Superscoreboard Build-Up              https://aod.planetradio.co.uk/superscoreboard/20180915171742.m4a?awCollectionId=superscoreboard&awEpisodeId=11356?awCollectionId=13&awEpisodeId=222486
Friday 14th September Clyde 1 Superscoreboard                         https://aod.planetradio.co.uk/superscoreboard/20180914190240.m4a?awCollectionId=superscoreboard&awEpisodeId=11352?awCollectionId=13&awEpisodeId=222487
Thursday 14th September Clyde 1 Superscoreboard                       https://aod.planetradio.co.uk/superscoreboard/20180913192214.m4a?awCollectionId=superscoreboard&awEpisodeId=11317?awCollectionId=13&awEpisodeId=222488
Wednesday 12th September Clyde 1Superscoreboard                       https://aod.planetradio.co.uk/superscoreboard/20180912190952.m4a?awCollectionId=superscoreboard&awEpisodeId=11284?awCollectionId=13&awEpisodeId=222489
Tuesday 11th September Clyde 1 Superscoreboard                        https://aod.planetradio.co.uk/superscoreboard/20180911195716.m4a?awCollectionId=superscoreboard&awEpisodeId=11260?awCollectionId=13&awEpisodeId=222490
